                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2561,                 2.0541,                 1.3765,                0.24112,                0.05064,                0.03785,                0.02141,                    nan,                    nan,                    nan,               0.066846,              0.0001666,              0.0001666
                      2,                 1.2193,                 1.6895,                 1.3561,                0.35776,                0.05911,                0.04682,                0.02718,                    nan,                    nan,                    nan,               0.033679,             0.00033217,             0.00033217
                      3,                 1.1942,                 1.5717,                 1.3411,                0.35562,                  0.064,                0.05294,                0.03202,                    nan,                    nan,                    nan,             0.00050972,             0.00049664,             0.00049664
                      4,                   1.17,                 1.4806,                 1.3277,                0.27768,                0.06052,                 0.0526,                0.03037,                    nan,                    nan,                    nan,             0.00049505,             0.00049505,             0.00049505
                      5,                 1.1457,                 1.4044,                  1.313,                 0.4058,                0.09235,                0.07635,                 0.0439,                    nan,                    nan,                    nan,             0.00049505,             0.00049505,             0.00049505
                      6,                 1.1371,                 1.3659,                 1.3047,                0.44953,                0.09237,                0.07677,                0.04354,                    nan,                    nan,                    nan,              0.0004934,              0.0004934,              0.0004934
                      7,                 1.1279,                 1.3313,                 1.3005,                0.42283,                0.08762,                0.06861,                0.03974,                    nan,                    nan,                    nan,             0.00049175,             0.00049175,             0.00049175
                      8,                 1.1106,                 1.3004,                 1.2897,                0.33545,                 0.0901,                0.07765,                0.04468,                    nan,                    nan,                    nan,              0.0004901,              0.0004901,              0.0004901
                      9,                 1.1085,                 1.2802,                 1.2887,                0.47507,                0.09311,                0.08188,                0.04582,                    nan,                    nan,                    nan,             0.00048845,             0.00048845,             0.00048845
                     10,                 1.1018,                 1.2669,                 1.2827,                0.41467,                0.09555,                0.08012,                0.04572,                    nan,                    nan,                    nan,              0.0004868,              0.0004868,              0.0004868
                     11,                 1.0964,                 1.2343,                  1.277,                0.36399,                0.09575,                0.08752,                0.05122,                    nan,                    nan,                    nan,             0.00048515,             0.00048515,             0.00048515
                     12,                 1.0915,                 1.2261,                 1.2729,                0.42142,                0.09801,                0.08205,                0.04767,                    nan,                    nan,                    nan,              0.0004835,              0.0004835,              0.0004835
                     13,                 1.0838,                 1.2077,                 1.2676,                0.44076,                0.09971,                0.09024,                0.05341,                    nan,                    nan,                    nan,             0.00048185,             0.00048185,             0.00048185
                     14,                 1.0794,                 1.2008,                 1.2674,                0.35529,                0.09851,                0.08657,                0.05183,                    nan,                    nan,                    nan,              0.0004802,              0.0004802,              0.0004802
